Processor,Designer,TransistorCount,Year,Process,Show
"Intel 4004 (4-bit, 16-pin)",Intel,2250,1971,10000,
"Intel 8008 (8-bit, 18-pin)",Intel,3500,1972,10000,
"NEC μCOM-4 (4-bit, 42-pin)",NEC,2500,1973,7500,
Toshiba TLCS-12 (12-bit),Toshiba,11000,1973,6000,
"Intel 4040 (4-bit, 16-pin)",Intel,3000,1974,10000,
"Motorola 6800 (8-bit, 40-pin)",Motorola,4100,1974,6000,
"Intel 8080 (8-bit, 40-pin)",Intel,6000,1974,6000,"1"
"TMS 1000 (4-bit, 28-pin)",Texas Instruments,8000,1974,8000,
"MOS Technology 6502 (8-bit, 40-pin)",MOS Technology,4528,1975,8000,
"RCA 1802 (8-bit, 40-pin)",RCA,5000,1976,5000,
"Zilog Z80 (8-bit, 4-bit ALU, 40-pin)",Zilog,8500,1976,4000,
"Intel 8085 (8-bit, 40-pin)",Intel,6500,1976,3000,
Bellmac-8 (8-bit),Bell Labs,7000,1977,5000,
"Motorola 6809 (8-bit with some 16-bit features, 40-pin)",Motorola,9000,1978,5000,
"Intel 8086 (16-bit, 40-pin)",Intel,29000,1978,3000,"1"
"Intel 8088 (16-bit, 8-bit data bus)",Intel,29000,1979,3000,
"Motorola 68000 (16/32-bit, 32-bit registers, 16-bit ALU)",Motorola,68000,1979,3500,
WDC 65C02,WDC,11500,1981,3000,
ROMP (32-bit),IBM,45000,1981,2000,
"Intel 80186 (16-bit, 68-pin)",Intel,55000,1982,3000,
"Intel 80286 (16-bit, 68-pin)",Intel,134000,1982,1500,"1"
WDC 65C816 (8/16-bit),WDC,22000,1983,3000,
Motorola 68020 (32-bit; 114 pins used),Motorola,190000,1984,2000,
"Intel 80386 (32-bit, 132-pin; no cache)",Intel,275000,1985,1500,"1"
ARM 1 (32-bit; no cache),Acorn,25000,1985,3000,
Novix NC4016 (16-bit),Harris Corporation,16000,1985,3000,
SPARC MB86900 (32-bit; no cache),Fujitsu,110000,1986,1200,
NEC V60[35] (32-bit; no cache),NEC,375000,1986,1500,
"ARM 2 (32-bit, 84-pin; no cache)",Acorn,27000,1986,2000,
NEC V70[35] (32-bit; no cache),NEC,385000,1987,1500,
Hitachi Gmicro/200[37],Hitachi,730000,1987,1000,
"Motorola 68030 (32-bit, very small caches)",Motorola,273000,1987,800,
TI Explorer's 32-bit Lisp machine chip,Texas Instruments,553000,1987,2000,
DEC WRL MultiTitan,DEC WRL,180000,1988,1500,
"Intel i960 (32-bit, 33-bit memory subsystem, no cache)",Intel,250000,1988,1500,
"Intel i960CA (32-bit, cache)",Intel,600000,1989,800,
"Intel 80486 (32-bit, 8 KB cache)",Intel,1180235,1989,1000,"1"
"ARM 3 (32-bit, 4 KB cache)",Acorn,310000,1989,1500,
"POWER1 (9-chip module, 72 kB of cache)",IBM,6900000,1990,1000,
"Motorola 68040 (32-bit, 8 KB caches)",Motorola,1200000,1990,650,
"R4000 (64-bit, 16 KB of caches)",MIPS,1350000,1991,1000,
"ARM 6 (32-bit, no cache for this 60 variant)",ARM,35000,1991,800,
"Hitachi SH-1 (32-bit, no cache)",Hitachi,600000,1992,800,
"Alpha 21064 (64-bit, 290-pin; 16 KB of caches)",DEC,1680000,1992,750,
"Hitachi HARP-1 (32-bit, cache)",Hitachi,2800000,1993,500,
"Pentium (32-bit, 16 KB of caches)",Intel,3100000,1993,800,
"POWER2 (8-chip module, 288 kB of cache)",IBM,23037000,1993,720,
ARM700 (32-bit; 8 KB cache),ARM,578977,1994,700,
"MuP21 (21-bit,[50] 40-pin; includes video)",Offete Enterprises,7000,1994,1200,
"Motorola 68060 (32-bit, 16 KB of caches)",Motorola,2500000,1994,600,"1"
"PowerPC 601 (32-bit, 32 KB of caches)","Apple, IBM, Motorola",2800000,1994,600,
"PowerPC 603 (32-bit, 16 KB of caches)","Apple, IBM, Motorola",1600000,1994,500,
"PowerPC 603e (32-bit, 32 KB of caches)","Apple, IBM, Motorola",2600000,1995,500,
"Alpha 21164 EV5 (64-bit, 112 kB cache)",DEC,9300000,1995,500,
"SA-110 (32-bit, 32 KB of caches)","Acorn, DEC, Apple",2500000,1995,350,
"Pentium Pro (32-bit, 16 KB of caches;[56] L2 cache on-package, but on separate die)",Intel,5500000,1995,500,
"PA-8000 64-bit, no cache",HP,3800000,1995,500,
"Alpha 21164A EV56 (64-bit, 112 kB cache)",DEC,9660000,1996,350,
"AMD K5 (32-bit, caches)",AMD,4300000,1996,500,
"Pentium II Klamath (32-bit, 64-bit SIMD, caches)",Intel,7500000,1997,350,
"AMD K6 (32-bit, caches)",AMD,8800000,1997,350,
"Pentium II Deschutes (32-bit, large cache)",Intel,7500000,1998,250,"1"
Alpha 21264 EV6 (64-bit),DEC,15200000,1998,350,
"Alpha 21164PC PCA57 (64-bit, 48 kB cache)",Samsung,5700000,1998,280,
"Hitachi SH-4 (32-bit, caches)[62]",Hitachi,3200000,1998,250,
"ARM 9TDMI (32-bit, no cache)",Acorn,111000,1999,350,
"Pentium III Katmai (32-bit, 128-bit SIMD, caches)",Intel,9500000,1999,250,
"Pentium II Mobile Dixon (32-bit, caches)",Intel,27400000,1999,180,
"AMD K6-III (32-bit, caches)",AMD,21300000,1999,250,
"AMD K7 (32-bit, caches)",AMD,22000000,1999,250,
"Gekko (32-bit, large cache)","IBM, Nintendo",21000000,2000,180,
"Pentium III Coppermine (32-bit, large cache)",Intel,21000000,2000,180,"1"
"Pentium 4 Willamette (32-bit, large cache)",Intel,42000000,2000,180,
"SPARC64 V (64-bit, large cache)",Fujitsu,191000000,2001,130,
"Pentium III Tualatin (32-bit, large cache)",Intel,45000000,2001,130,
"Pentium 4 Northwood (32-bit, large cache)",Intel,55000000,2002,130,
"Itanium 2 McKinley (64-bit, large cache)",Intel,220000000,2002,180,
"Alpha 21364 (64-bit, 946-pin, SIMD, very large caches)",DEC,152000000,2003,180,
"AMD K7 Barton (32-bit, large cache)",AMD,54300000,2003,130,
"AMD K8 (64-bit, large cache)",AMD,105900000,2003,130,
Pentium M Banias (32-bit),Intel,77000000,2003,130,
Itanium 2 Madison 6M (64-bit),Intel,410000000,2003,130,
PlayStation 2 single chip (CPU + GPU),"Sony, Toshiba",53500000,2003,90,
"Pentium 4 Prescott (32-bit, large cache)",Intel,112000000,2004,90,
Pentium M Dothan (32-bit),Intel,144000000,2004,90,
"SPARC64 V+ (64-bit, large cache)",Fujitsu,400000000,2004,90,
Itanium 2 (64-bit;9 MB cache),Intel,592000000,2004,130,
"Pentium 4 Prescott-2M (32-bit, large cache)",Intel,169000000,2005,90,"1"
"Pentium D Smithfield (64-bit, large cache)",Intel,228000000,2005,90,
"Xenon (64-bit, 128-bit SIMD, large cache)",IBM,165000000,2005,90,
