Processor,Designer,Transistor Count,Year,Process,Show
"Intel 4004 (4-bit, 16-pin)",Intel,"2,250",1971,10000,
"Intel 8008 (8-bit, 18-pin)",Intel,"3,500",1972,10000,
"NEC μCOM-4 (4-bit, 42-pin)",NEC,"2,500[18][19]",1973,7500,
Toshiba TLCS-12 (12-bit),Toshiba,"11,000+[21]",1973,6000,
"Intel 4040 (4-bit, 16-pin)",Intel,"3,000",1974,10000,
"Motorola 6800 (8-bit, 40-pin)",Motorola,"4,100",1974,6000,
"Intel 8080 (8-bit, 40-pin)",Intel,"6,000",1974,6000,1
"TMS 1000 (4-bit, 28-pin)",Texas Instruments,"8,000[b]",1974,8000,
"MOS Technology 6502 (8-bit, 40-pin)",MOS Technology,"4,528[c][23]",1975,8000,
"RCA 1802 (8-bit, 40-pin)",RCA,"5,000",1976,5000,
"Zilog Z80 (8-bit, 4-bit ALU, 40-pin)",Zilog,"8,500[d]",1976,4000,
"Intel 8085 (8-bit, 40-pin)",Intel,"6,500",1976,3000,
Bellmac-8 (8-bit),Bell Labs,"7,000",1977,5000,
"Motorola 6809 (8-bit with some 16-bit features, 40-pin)",Motorola,"9,000",1978,5000,
"Intel 8086 (16-bit, 40-pin)",Intel,"29,000[24]",1978,3000,1
"Intel 8088 (16-bit, 8-bit data bus)",Intel,"29,000",1979,3000,
"Motorola 68000 (16/32-bit, 32-bit registers, 16-bit ALU)",Motorola,"68,000[26]",1979,3500,
WDC 65C02,WDC,"11,500[27]",1981,3000,
ROMP (32-bit),IBM,"45,000",1981,2000,
"Intel 80186 (16-bit, 68-pin)",Intel,"55,000",1982,3000,
"Intel 80286 (16-bit, 68-pin)",Intel,"134,000",1982,1500,1
WDC 65C816 (8/16-bit),WDC,"22,000[28]",1983,3000,
Motorola 68020 (32-bit; 114 pins used),Motorola,"190,000[30]",1984,2000,
"Intel 80386 (32-bit, 132-pin; no cache)",Intel,"275,000",1985,1500,1
ARM 1 (32-bit; no cache),Acorn,"25,000[30]",1985,3000,
Novix NC4016 (16-bit),Harris Corporation,"16,000[31]",1985,3000,
SPARC MB86900 (32-bit; no cache),Fujitsu,"110,000[34]",1986,1200,
NEC V60[35] (32-bit; no cache),NEC,"375,000",1986,1500,
"ARM 2 (32-bit, 84-pin; no cache)",Acorn,"27,000[36][30]",1986,2000,
NEC V70[35] (32-bit; no cache),NEC,"385,000",1987,1500,
Hitachi Gmicro/200[37],Hitachi,"730,000",1987,1000,
"Motorola 68030 (32-bit, very small caches)",Motorola,"273,000",1987,800,
TI Explorer's 32-bit Lisp machine chip,Texas Instruments,"553,000[38]",1987,2000,
DEC WRL MultiTitan,DEC WRL,"180,000[40]",1988,1500,
"Intel i960 (32-bit, 33-bit memory subsystem, no cache)",Intel,"250,000[41]",1988,1500,
"Intel i960CA (32-bit, cache)",Intel,"600,000[42]",1989,800,
"Intel 80486 (32-bit, 8 KB cache)",Intel,"1,180,235",1989,1000,1
"ARM 3 (32-bit, 4 KB cache)",Acorn,"310,000",1989,1500,
"POWER1 (9-chip module, 72 kB of cache)",IBM,"6,900,000[44]",1990,1000,
"Motorola 68040 (32-bit, 8 KB caches)",Motorola,"1,200,000",1990,650,
"R4000 (64-bit, 16 KB of caches)",MIPS,"1,350,000",1991,1000,
"ARM 6 (32-bit, no cache for this 60 variant)",ARM,"35,000",1991,800,
"Hitachi SH-1 (32-bit, no cache)",Hitachi,"600,000[45]",1992,800,
"Alpha 21064 (64-bit, 290-pin; 16 KB of caches)",DEC,"1,680,000",1992,750,
"Hitachi HARP-1 (32-bit, cache)",Hitachi,"2,800,000[47]",1993,500,
"Pentium (32-bit, 16 KB of caches)",Intel,"3,100,000",1993,800,1
"POWER2 (8-chip module, 288 kB of cache)",IBM,"23,037,000[48]",1993,720,
ARM700 (32-bit; 8 KB cache),ARM,"578,977[49]",1994,700,
"MuP21 (21-bit,[50] 40-pin; includes video)",Offete Enterprises,"7,000[51]",1994,1200,
"Motorola 68060 (32-bit, 16 KB of caches)",Motorola,"2,500,000",1994,600,
"PowerPC 601 (32-bit, 32 KB of caches)","Apple, IBM, Motorola","2,800,000[52]",1994,600,
"PowerPC 603 (32-bit, 16 KB of caches)","Apple, IBM, Motorola","1,600,000[53]",1994,500,
"PowerPC 603e (32-bit, 32 KB of caches)","Apple, IBM, Motorola","2,600,000[54]",1995,500,
"Alpha 21164 EV5 (64-bit, 112 kB cache)",DEC,"9,300,000[55]",1995,500,
"SA-110 (32-bit, 32 KB of caches)","Acorn, DEC, Apple","2,500,000[30]",1995,350,
"Pentium Pro (32-bit, 16 KB of caches;[56] L2 cache on-package, but on separate die)",Intel,"5,500,000[57]",1995,500,
"PA-8000 64-bit, no cache",HP,"3,800,000[58]",1995,500,
"Alpha 21164A EV56 (64-bit, 112 kB cache)",DEC,"9,660,000[59]",1996,350,
"AMD K5 (32-bit, caches)",AMD,"4,300,000",1996,500,
"Pentium II Klamath (32-bit, 64-bit SIMD, caches)",Intel,"7,500,000",1997,350,1
"AMD K6 (32-bit, caches)",AMD,"8,800,000",1997,350,
"Pentium II Deschutes (32-bit, large cache)",Intel,"7,500,000",1998,250,
Alpha 21264 EV6 (64-bit),DEC,"15,200,000[61]",1998,350,
"Alpha 21164PC PCA57 (64-bit, 48 kB cache)",Samsung,"5,700,000",1998,280,
"Hitachi SH-4 (32-bit, caches)[62]",Hitachi,"3,200,000[63]",1998,250,
"ARM 9TDMI (32-bit, no cache)",Acorn,"111,000[30]",1999,350,
"Pentium III Katmai (32-bit, 128-bit SIMD, caches)",Intel,"9,500,000",1999,250,
"Emotion Engine (64-bit, 128-bit SIMD, cache)","Sony, Toshiba","10,500,000[64]

– 13,500,000[65]",1999,250,
"Pentium II Mobile Dixon (32-bit, caches)",Intel,"27,400,000",1999,180,
"AMD K6-III (32-bit, caches)",AMD,"21,300,000",1999,250,
"AMD K7 (32-bit, caches)",AMD,"22,000,000",1999,250,
"Gekko (32-bit, large cache)","IBM, Nintendo","21,000,000[66]",2000,180,
"Pentium III Coppermine (32-bit, large cache)",Intel,"21,000,000",2000,180,1
"Pentium 4 Willamette (32-bit, large cache)",Intel,"42,000,000",2000,180,
"SPARC64 V (64-bit, large cache)",Fujitsu,"191,000,000[67]",2001,130,
"Pentium III Tualatin (32-bit, large cache)",Intel,"45,000,000",2001,130,
"Pentium 4 Northwood (32-bit, large cache)",Intel,"55,000,000",2002,130,
"Itanium 2 McKinley (64-bit, large cache)",Intel,"220,000,000",2002,180,
"Alpha 21364 (64-bit, 946-pin, SIMD, very large caches)",DEC,"152,000,000[14]",2003,180,
"AMD K7 Barton (32-bit, large cache)",AMD,"54,300,000",2003,130,
"AMD K8 (64-bit, large cache)",AMD,"105,900,000",2003,130,
